"CPE","PART","VENDOR","PRODUCT","VERSION","UPDATE","EDITION","LANGUAGE","SW_EDITION","TARGET_SW","TARGET_HW","OTHER","HIGH","MEDIUM","LOW","SCORES","REFERENCE"
"cpe:/a:adobe:acrobat:_reader9.5.3","a","adobe","acrobat","_reader9.5.3","","","","","","","",,,,,
"cpe:/a:adobe:acrobat:1.0::~~suite~~~","a","adobe","acrobat","1.0","","","","","","","",,,,,
"cpe:/a:adobe:acrobat:10.0","a","adobe","acrobat","10.0","","","","","","","",,,,,
"cpe:/a:adobe:acrobat:10.0:-:pro","a","adobe","acrobat","10.0","1","pro","","","","","",,,,,
"cpe:/a:adobe:acrobat:10.0.1","a","adobe","acrobat","10.0.1","","","","","","","",,,,,
"cpe:/a:adobe:acrobat:10.0.1:-:pro","a","adobe","acrobat","10.0.1","1","pro","","","","","",,,,,
"cpe:/a:adobe:acrobat:10.0.2","a","adobe","acrobat","10.0.2","","","","","","","",,,,,
"cpe:/a:adobe:acrobat:10.0.3","a","adobe","acrobat","10.0.3","","","","","","","",,,,,
"cpe:/a:adobe:acrobat:10.1","a","adobe","acrobat","10.1","","","","","","","",,,,,
"cpe:/a:adobe:acrobat:10.1.1","a","adobe","acrobat","10.1.1","","","","","","","",,,,,
"cpe:/a:adobe:acrobat:10.1.10","a","adobe","acrobat","10.1.10","","","","","","","",,,,,
"cpe:/a:adobe:acrobat:10.1.2","a","adobe","acrobat","10.1.2","","","","","","","",,,,,
"cpe:/a:adobe:acrobat:10.1.3","a","adobe","acrobat","10.1.3","","","","","","","",,,,,
"cpe:/a:adobe:acrobat:10.1.4","a","adobe","acrobat","10.1.4","","","","","","","",,,,,
"cpe:/a:adobe:acrobat:10.1.5","a","adobe","acrobat","10.1.5","","","","","","","",,,,,
"cpe:/a:adobe:acrobat:10.1.6","a","adobe","acrobat","10.1.6","","","","","","","",,,,,
"cpe:/a:adobe:acrobat:10.1.7","a","adobe","acrobat","10.1.7","","","","","","","",,,,,
"cpe:/a:adobe:acrobat:10.1.8","a","adobe","acrobat","10.1.8","","","","","","","",,,,,
